time,head,depth,flux,c,c1,c2,c3,h,dt_mass,mass,cmass
0,-1,0,-0.05,0,1,0.2,0.01,-0.2,0.0001,0.24258,0.00025
0,-1,-0.001,-0.000355,0,0.9958,0.2005,0.01008,-0.2,0.0002,0.24259,0.0005
0,-1,-0.002,-0.000355,0,0.9957,0.2019,0.0102,-0.2,0.0003,0.24259,0.000825
0,-1,-0.003,-0.000355,0,0.991,0.2023,0.01027,-0.2,0.0005,0.2426,0.0012475
0,-1,-0.004,-0.000355,0,0.9884,0.2031,0.01036,-0.201,0.0007,0.24261,0.0017967
0,-1,-0.005,-0.000355,0,0.9857,0.2038,0.01045,-0.201,0.001,0.24263,0.0025108
0,-1,-0.006,-0.000355,0,0.9826,0.2045,0.01053,-0.201,0.0014,0.24265,0.003439
0,-1,-0.007,-0.000355,0,0.9797,0.2052,0.01062,-0.201,0.0019,0.24267,0.0046457
0,-1,-0.008,-0.000355,0,0.9765,0.2058,0.0107,-0.201,0.0025,0.2427,0.0062144
0,-1,-0.009,-0.000355,0,0.9736,0.2064,0.01078,-0.201,0.0033,0.24274,0.0082537
0,-1,-0.01,-0.000355,0,0.9705,0.207,0.01086,-0.202,0.0044,0.2428,0.010905
0,-1,-0.011,-0.000355,0,0.9675,0.2076,0.01094,-0.202,0.0057,0.24286,0.014351
0,-1,-0.012,-0.000355,0,0.9643,0.2081,0.01101,-0.202,0.0075,0.24295,0.018832
0,-1,-0.013,-0.000355,0,0.9612,0.2087,0.01109,-0.202,0.0099,0.24307,0.024656
0,-1,-0.014,-0.000355,0,0.958,0.2092,0.01116,-0.202,0.0122,0.24318,0.030481
0,-1,-0.015,-0.000355,0,0.9548,0.2097,0.01123,-0.203,0.0152,0.24333,0.038053
0,-1,-0.016,-0.000355,0,0.9516,0.2101,0.01131,-0.203,0.0192,0.24353,0.047896
0,-1,-0.017,-0.000355,0,0.9483,0.2105,0.01137,-0.203,0.0231,0.24373,0.05774
0,-1,-0.018,-0.000355,0,0.9451,0.211,0.01144,-0.203,0.0282,0.24398,0.070536
0,-1,-0.019,-0.000355,0,0.9418,0.2114,0.0115,-0.203,0.0333,0.24423,0.083332
0,-1,-0.02,-0.000355,0,0.9384,0.2117,0.01157,-0.203,0.0399,0.24456,0.099753
0,-1,-0.021,-0.000355,0,0.9351,0.2121,0.01163,-0.204,0.0466,0.24489,0.1164
0,-1,-0.022,-0.000355,0,0.9317,0.2124,0.01169,-0.204,0.0532,0.24522,0.1331
0,-1,-0.023,-0.000355,0,0.9282,0.2126,0.01175,-0.204,0.0599,0.24555,0.1498
0,-1,-0.024,-0.000355,0,0.9248,0.2129,0.0118,-0.204,0.0666,0.24588,0.1665
0,-1,-0.025,-0.000355,0,0.9213,0.2132,0.01186,-0.204,0.0733,0.24622,0.1832
0,-1,-0.026,-0.000355,0,0.9178,0.2134,0.01191,-0.205,0.08,0.24655,0.1999
0,-1,-0.027,-0.000355,0,0.9143,0.2136,0.01196,-0.205,0.0866,0.24688,0.2166
0,-1,-0.028,-0.000355,0,0.9107,0.2137,0.01201,-0.205,0.0933,0.24721,0.2333
0,-1,-0.029,-0.000355,0,0.9071,0.2139,0.01206,-0.205,0.1,0.24754,0.25
0,-1,-0.03,-0.000355,0,0.9035,0.214,0.01211,-0.205,0.1071,0.2479,0.26787
0,-1,-0.031,-0.000355,0,0.8998,0.2141,0.01215,-0.206,0.1143,0.24825,0.28583
0,-1,-0.032,-0.000355,0,0.8962,0.2142,0.01219,-0.206,0.1216,0.24861,0.30388
0,-1,-0.033,-0.000355,0,0.8925,0.2142,0.01223,-0.206,0.1288,0.24897,0.32201
0,-1,-0.034,-0.000355,0,0.8887,0.2143,0.01227,-0.206,0.1359,0.24933,0.33981
0,-1,-0.035,-0.000355,0,0.8849,0.2143,0.01231,-0.206,0.143,0.24968,0.35761
0,-1,-0.036,-0.000355,0,0.8811,0.2143,0.01234,-0.207,0.1502,0.25003,0.37541
